Record Date,Type of Account,Closing Balance Today,Opening Balance Today,Opening Balance This Month,Opening Balance This Fiscal Year,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
29-04-2022,Treasury General Account (TGA) Closing Balance,null,923240,923240,923240,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,4,29
28-04-2022,Treasury General Account (TGA) Opening Balance,null,957419,651523,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,4,28
28-04-2022,Total TGA Deposits (Table II),null,135610,1994544,14083002,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,4,28
28-04-2022,Total TGA Withdrawals (Table II) (-),null,139096,1692134,13344228,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,4,28
28-04-2022,Treasury General Account (TGA) Closing Balance,null,953933,953933,953933,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,4,28
27-04-2022,Treasury General Account (TGA) Opening Balance,null,972993,651523,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,4,27
27-04-2022,Total TGA Deposits (Table II),null,36829,1858934,13947392,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,4,27
27-04-2022,Total TGA Withdrawals (Table II) (-),null,52404,1553038,13205132,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,4,27
27-04-2022,Treasury General Account (TGA) Closing Balance,null,957419,957419,957419,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,4,27
26-04-2022,Treasury General Account (TGA) Opening Balance,null,958291,651523,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,4,26
26-04-2022,Total TGA Deposits (Table II),null,148016,1822106,13910507,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,4,26
26-04-2022,Total TGA Withdrawals (Table II) (-),null,133314,1500635,13152673,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,4,26
26-04-2022,Treasury General Account (TGA) Closing Balance,null,972993,972993,972993,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,4,26
25-04-2022,Treasury General Account (TGA) Opening Balance,null,934238,651523,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,4,25
25-04-2022,Total TGA Deposits (Table II),null,44296,1674089,13762491,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,4,25
25-04-2022,Total TGA Withdrawals (Table II) (-),null,20243,1367321,13019359,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,4,25
25-04-2022,Treasury General Account (TGA) Closing Balance,null,958291,958291,958291,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,4,25
22-04-2022,Treasury General Account (TGA) Opening Balance,null,918877,651523,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,4,22
22-04-2022,Total TGA Deposits (Table II),null,37033,1629794,13718195,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,4,22
22-04-2022,Total TGA Withdrawals (Table II) (-),null,21672,1347079,12999117,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,4,22
22-04-2022,Treasury General Account (TGA) Closing Balance,null,934238,934238,934238,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,4,22
